15085,Love Live! School Idol Project
15225,Amnesia
15315,Hentai Ouji to Warawanai Neko.
15335,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?
15379,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
15417,Kotoura-san
15451,Gintama': Enchousen
15583,High School DxD New
15689,Date A Live
15809,Nekomonogatari: Kuro
16001,Hataraku Maou-sama!
16009,Kokoro Connect: Michi Random
16011,Kamisama no Inai Nichiyoubi
16035,Tokyo Ravens
16049,Karneval (TV)
16067,Toaru Kagaku no Railgun S
16201,Nagi no Asu kara
16353,Aku no Hana
16417,Love Lab
16498,Tamako Market
16512,Shingeki no Kyojin
16524,Devil Survivor 2 The Animation
16592,Suisei no Gargantia
16662,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation
16668,Kaze Tachinu
16706,Kakumeiki Valvrave
16732,Kami nomi zo Shiru Sekai: Megami-hen
16742,Kiniro Mosaic
16762,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!
16782,Mirai Nikki: Redial
16894,Kotonoha no Niwa
16904,Kuroko no Basket 2nd Season
16918,K: Missing Kings
16934,Gin no Saji
17074,Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel
17247,Monogatari Series: Second Season
17265,Machine-Doll wa Kizutsukanai
17513,Log Horizon
17549,Diabolik Lovers
17729,Non Non Biyori
17831,Grisaia no Kajitsu
17895,Inu to Hasami wa Tsukaiyou
17909,Golden Time
18115,Uchouten Kazoku
18119,Magi: The Kingdom of Magic
18139,Servant x Service
18153,Tonari no Seki-kun
18179,Kyoukai no Kanata
18229,Yowamushi Pedal
18247,Gatchaman Crowds
18277,IS: Infinite Stratos 2
18397,Strike the Blood
18507,Shingeki no Kyojin OVA
18671,Free!
18677,Chuunibyou demo Koi ga Shitai! Ren
18679,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.
18689,Kill la Kill
18753,Diamond no Ace
18857,Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA
18893,Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials
18897,Aoki Hagane no Arpeggio: Ars Nova
19111,Nisekoi
19163,Love Live! School Idol Project 2nd Season
19221,Date A Live II
19315,Ore no Nounai Sentakushi ga Gakuen Love Comedy wo Zenryoku de Jama Shiteiru
19363,Pupa
19365,Gin no Saji 2nd Season
19369,Samurai Flamenco
19429,Outbreak Company
19769,Akuma no Riddle
19775,Mahou Sensou
19815,Sidonia no Kishi
20021,No Game No Life
20031,Sword Art Online: Extra Edition
20047,D-Frag!
20057,Sakura Trick
20159,Space☆Dandy
20457,Pokemon: The Origin
20507,Inari Konkon Koi Iroha.
20541,Noragami
20583,Mikakunin de Shinkoukei
20689,Haikyuu!!
20767,Hamatora The Animation
20785,Noragami OVA
20787,Mahouka Koukou no Rettousei
20847,Black Bullet
20853,Seitokai Yakuindomo*
20899,Hitsugi no Chaika
20973,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
21085,Sekai Seifuku: Bouryaku no Zvezda
21273,Witch Craft Works
21327,Gochuumon wa Usagi Desu ka?
21339,Isshuukan Friends.
21353,Psycho-Pass Movie
21405,Tokyo ESP
21431,Bokura wa Minna Kawai-sou
21511,Gokukoku no Brynhildr
21561,Kantai Collection: KanColle
21603,Ryuugajou Nanana no Maizoukin (TV)
21843,Mekakucity Actors
21855,Shingeki no Bahamut: Genesis
21863,Hanamonogatari
21881,Mangaka-san to Assistant-san to The Animation
21939,Sword Art Online II
21995,Mushishi Zoku Shou
22043,Ao Haru Ride
22101,Fairy Tail (2014)
22135,Soredemo Sekai wa Utsukushii
22145,Ping Pong the Animation
22147,Kuroshitsuji: Book of Circus
22199,Amagi Brilliant Park
22265,Akame ga Kill!
22273,Free!: Eternal Summer
22297,Selector Infected WIXOSS
22319,Fate/stay night: Unlimited Blade Works
22535,Tokyo Ghoul
22729,Kiseijuu: Sei no Kakuritsu
22789,Aldnoah.Zero
22877,Barakamon
23079,Seireitsukai no Blade Dance
23199,Glasslip
23233,Durarara!!x2 Shou
23251,Shinmai Maou no Testament
23273,Gugure! Kokkuri-san
23277,Shigatsu wa Kimi no Uso
23281,Saenai Heroine no Sodatekata
23283,Psycho-Pass 2
23289,Zankyou no Terror
23321,Gekkan Shoujo Nozaki-kun
23673,Log Horizon 2nd Season
23755,Ookami Shoujo to Kuro Ouji
23847,Nanatsu no Taizai
24405,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku
24415,World Trigger
24439,Kuroko no Basket 3rd Season
